batch_name,Lr_trunc_flag,Lr_sup,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD,CTOD
6B,0,,0.086,0.11,0.14,0.22,0.36,,,,
2B,0,,0.086,0.11,0.14,0.22,0.36,,,,
1C,0,,0.086,0.11,0.14,0.22,0.36,,,,
6A,0,,0.21,0.73,0.93,,,,,,
2A,0,,0.21,0.73,0.93,,,,,,
1A,0,,0.21,0.73,0.93,,,,,,
2E,0,,0.086,0.11,0.14,0.22,0.36,,,,
2D,0,,0.21,0.73,0.93,,,,,,
7J/7K,0,,0.061,0.075,0.128,0.188,,,,,
6E/6F,0,,0.35,0.46,0.63,,,,,,
1D,1,1.4087,0.37,0.37,0.63,0.63,0.67,0.75,0.86,0.82,
1E,1,1.4424,0.56,1.19,1.31,1.33,1.44,1.47,1.57,1.57,
3C,1,1.4087,0.37,0.37,0.63,0.63,0.67,0.75,0.86,0.82,
3D,1,1.4424,0.56,1.19,1.31,1.33,1.44,1.47,1.57,1.57,
3E,1,1.4087,0.37,0.37,0.63,0.63,0.67,0.75,0.86,0.82,
3G,1,1.4424,0.56,1.19,1.31,1.33,1.44,1.47,1.57,1.57,
3H,1,1.4087,0.37,0.37,0.63,0.63,0.67,0.75,0.86,0.82,
3J,1,1.4424,0.56,1.19,1.31,1.33,1.44,1.47,1.57,1.57,
999.1,0,,0.09,,,,,,,,
999.2,1,1.3751,0.09,,,,,,,,
999.3,0,,0.09,,,,,,,,
999.4,0,,0.09,,,,,,,,
601.2,1,1.48,0.09,,,,,,,,
601.3,1,1.6923,0.09,,,,,,,,
2896.1,1,1.3888,0.14,,,,,,,,
4D,1,1.4424,0.56,1.19,1.31,,,,,,
10JK,1,1.4424,0.35,0.46,0.63,,,,,,
10LM,1,1.4087,0.45,0.52,0.83,,,,,,
4C,1,1.4424,0.56,1.19,1.31,,,,,,
10GH,1,1.4087,0.45,0.52,0.83,,,,,,
4E,1,1.4424,0.56,1.19,1.31,,,,,,
10NO,1,1.4424,0.35,0.46,0.63,,,,,,
8HJ,1,1.4087,0.45,0.52,0.83,,,,,,
